2022-08-09 11:52:56 status half-installed util-linux:arm64 2.37.2-4ubuntu3
2022-08-09 11:52:56 status unpacked util-linux:arm64 2.37.2-4ubuntu3
2022-08-09 11:52:56 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu9
2022-08-09 11:52:56 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2022-08-09 11:52:56 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2022-08-09 11:52:56 startup packages configure
2022-08-09 11:52:56 configure lsb-base:all 11.1.0ubuntu4 <none>
2022-08-09 11:52:56 status unpacked lsb-base:all 11.1.0ubuntu4
2022-08-09 11:52:56 status half-configured lsb-base:all 11.1.0ubuntu4
2022-08-09 11:52:56 status installed lsb-base:all 11.1.0ubuntu4
2022-08-09 11:52:56 configure libtirpc-common:all 1.3.2-2build1 <none>
2022-08-09 11:52:56 status unpacked libtirpc-common:all 1.3.2-2build1
2022-08-09 11:52:56 status half-configured libtirpc-common:all 1.3.2-2build1
2022-08-09 11:52:56 status installed libtirpc-common:all 1.3.2-2build1
2022-08-09 11:52:56 configure libaudit-common:all 1:3.0.7-1build1 <none>
2022-08-09 11:52:56 status unpacked libaudit-common:all 1:3.0.7-1build1
2022-08-09 11:52:56 status half-configured libaudit-common:all 1:3.0.7-1build1
2022-08-09 11:52:56 status installed libaudit-common:all 1:3.0.7-1build1
2022-08-09 11:52:56 configure libsemanage-common:all 3.3-1build2 <none>
2022-08-09 11:52:56 status unpacked libsemanage-common:all 3.3-1build2
2022-08-09 11:52:56 status half-configured libsemanage-common:all 3.3-1build2
2022-08-09 11:52:56 status installed libsemanage-common:all 3.3-1build2
2022-08-09 11:52:56 configure gcc-12-base:arm64 12-20220319-1ubuntu1 <none>
2022-08-09 11:52:56 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:56 status half-configured gcc-12-base:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:56 status installed gcc-12-base:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:56 configure ncurses-base:all 6.3-2 <none>
2022-08-09 11:52:56 status unpacked ncurses-base:all 6.3-2
2022-08-09 11:52:56 status half-configured ncurses-base:all 6.3-2
2022-08-09 11:52:56 status installed ncurses-base:all 6.3-2
2022-08-09 11:52:56 configure sensible-utils:all 0.0.17 <none>
2022-08-09 11:52:56 status unpacked sensible-utils:all 0.0.17
2022-08-09 11:52:56 status half-configured sensible-utils:all 0.0.17
2022-08-09 11:52:56 status installed sensible-utils:all 0.0.17
2022-08-09 11:52:56 configure libcrypt1:arm64 1:4.4.27-1 <none>
2022-08-09 11:52:56 status unpacked libcrypt1:arm64 1:4.4.27-1
2022-08-09 11:52:56 status half-configured libcrypt1:arm64 1:4.4.27-1
2022-08-09 11:52:56 status installed libcrypt1:arm64 1:4.4.27-1
2022-08-09 11:52:56 configure libgcc-s1:arm64 12-20220319-1ubuntu1 <none>
2022-08-09 11:52:56 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:56 status half-configured libgcc-s1:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:56 status installed libgcc-s1:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:56 configure libc6:arm64 2.35-0ubuntu3 <none>
2022-08-09 11:52:56 status unpacked libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:56 status half-configured libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:57 status installed libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:57 configure libudev1:arm64 249.11-0ubuntu3 <none>
2022-08-09 11:52:57 status unpacked libudev1:arm64 249.11-0ubuntu3
2022-08-09 11:52:57 status half-configured libudev1:arm64 249.11-0ubuntu3
2022-08-09 11:52:57 status installed libudev1:arm64 249.11-0ubuntu3
2022-08-09 11:52:57 configure libattr1:arm64 1:2.5.1-1build1 <none>
